50 4	128 40
5 34 239 325 4	5 32 169 1062 4
5 34 239 1472 4	5 32 169 13 16 1341 4
5 34 153 73 324 4	5 32 121 1199 241 4
5 34 86 1331 194 4	5 32 1937 4
5 34 47 10 1314 190 4	5 32 41 23 1 1 4
5 34 47 33 1787 4	5 32 13 94 1098 4
5 34 260 47 687 4	5 14 84 8 91 379 4
5 34 566 1182 4	5 32 28 292 4
5 34 566 1182 4	5 32 28 292 77 15 1742 4
5 34 1163 110 99 4	5 44 2437 26 28 20 211 4
5 34 712 10 1056 4	5 1 23 1207 4
5 34 895 19 13 4	19 28 32 749 4
5 34 343 43 6 4	5 315 55 86 4
5 34 2093 42 6 4	5 462 77 86 4
5 34 582 58 6 4	5 32 788 6 86 4
5 34 582 58 6 4	5 32 788 6 10 4
5 34 146 45 5 30 4	5 157 49 20 11 5 71 4
5 34 146 15 294 4	5 15 157 47 119 4
5 34 1 10 326 4	5 32 28 117 29 1 23 543 4
5 34 1 10 326 4	5 32 28 117 29 1 23 543 4
5 34 750 10 583 4	5 32 28 117 6 443 30 621 4
5 34 1551 19 1 4	5 3910 6 1883 4
5 34 459 86 875 4	5 620 30 1141 4
5 34 1136 152 4	5 32 1298 235 4
5 34 1136 246 4	5 32 2528 413 4
5 34 1205 73 43 65 4	19 28 25 1765 29 36 4
5 34 692 26 414 6 4	39 128 26 365 4
5 34 298 7 35 59 4	5 32 592 29 53 108 4
5 34 298 7 35 59 4	5 32 903 29 53 108 4
5 34 298 7 35 59 4	5 32 592 29 53 81 4
5 34 298 7 35 117 4	5 32 592 29 53 13 16 116 4
5 34 298 7 35 117 4	5 32 903 29 53 166 47 4
5 34 298 7 35 117 4	5 32 592 29 53 166 47 4
5 34 298 7 35 117 4	5 32 903 29 53 13 16 116 4
5 34 298 7 231 15 4	5 32 903 6 24 354 4
5 34 298 7 88 6 4	5 32 235 6 10 124 4
5 34 298 7 88 6 4	5 32 5160 6 10 530 4
5 34 298 7 88 6 4	5 32 235 6 51 124 4
5 34 298 25 201 14 4	5 32 592 11 27 1803 152 22 4
5 34 298 6 447 4	5 1 592 11 17 745 661 4
5 34 298 6 447 4	5 32 903 11 10 641 661 4
5 34 76 42 10 512 4	5 1255 28 506 4
5 34 76 53 99 4	19 43 142 143 4
5 34 76 7 1135 4	5 142 13 24 1336 4
5 34 76 7 50 99 4	5 142 143 43 102 4
5 34 81 47 1776 4	5 32 134 28 5663 4
5 34 81 47 966 4	5 32 134 28 6897 4
5 34 152 43 13 4	19 28 32 592 4
5 34 21 29 1104 4	5 32 41 59 1202 4
5 34 21 8 3903 4	5 32 60 399 1013 4
5 34 21 8 1572 4	5 32 41 16 865 6 5664 4
5 34 2169 215 4	5 32 2477 373 4
5 34 1 7 6 4	19 25 30 3031 1168 10 4
5 34 72 38 510 4	5 21 25 212 8 504 4
5 34 248 19 10 1 4	5 32 30 595 6 4808 4
5 34 1034 154 4	19 1641 15 164 4
5 34 245 32 6 4	5 32 28 117 6 10 583 4
5 34 103 107 152 4	5 32 42 37 235 4
5 34 103 107 152 4	5 32 42 11 592 4
5 34 103 107 152 4	5 32 42 11 903 4
5 34 67 390 246 4	5 14 32 42 413 4
5 34 38 10 415 246 4	5 14 32 8 56 49 413 4
5 34 38 10 81 964 4	5 14 32 8 23 134 1452 4
5 34 38 10 81 964 4	5 14 32 8 30 180 2517 4
5 34 38 10 2341 4	5 14 32 8 2397 4
5 34 38 1 4	5 14 1753 8 122 752 4
5 34 38 47 45 215 4	5 14 32 8 568 56 49 4
5 34 38 4186 6 4	5 14 10 5665 8 4
5 34 38 215 751 4	5 14 32 8 373 251 42 4
5 34 38 215 751 4	5 14 32 8 568 251 42 4
5 34 38 1287 4	5 14 32 8 13 24 1160 4
5 34 38 343 124 4	5 14 1532 8 4
5 34 38 1303 4	5 14 33 5520 8 4
5 34 38 1 4	5 24 3404 4
5 34 38 2942 4	5 14 32 8 6898 4
5 34 38 2942 4	5 14 32 8 1 4
5 34 38 459 20 4	5 14 620 8 39 4
5 34 38 459 20 4	5 14 142 8 193 39 4
5 34 38 1318 4	5 14 32 8 3044 4
5 34 38 1318 4	5 14 32 8 5209 4
5 34 38 76 7 50 4	5 14 142 8 43 102 4
5 34 38 21 119 715 4	5 21 3235 8 16 735 926 4
5 34 38 21 8 1220 4	5 14 32 8 29 1252 4
5 34 38 4917 4	5 14 32 8 1 4
5 34 38 325 251 4	5 14 32 8 129 1062 4
5 34 38 325 251 4	5 14 32 8 129 1074 4
5 34 38 68 19 167 4	5 14 157 8 386 56 1 4
5 34 38 68 19 167 4	5 14 157 8 386 6 270 1002 4
5 34 38 68 19 167 4	5 14 157 8 386 6 270 1 4
5 34 38 68 19 167 4	5 14 157 8 386 6 270 4519 4
5 34 38 1 4	5 14 32 8 1 4
5 34 38 473 19 15 4	5 21 28 32 8 710 4
5 34 38 473 19 15 4	5 21 28 32 8 1216 4
5 34 38 93 215 4	5 14 32 8 92 373 4
5 34 38 93 215 4	5 14 32 8 92 568 4
5 34 38 665 6 4	5 14 51 15 217 8 4
5 34 38 13 510 4	5 21 25 8 359 504 4
5 34 38 13 438 126	5 14 32 8 686 13 20 353 40
5 34 38 8 1155 4	5 14 32 8 15 902 4
5 34 38 8 203 4	20 21 9 8 47 15 189 4
5 34 38 60 510 4	5 21 25 8 72 504 4
5 34 38 33 171 4	5 14 32 8 94 156 4
5 34 38 33 216 4	5 14 32 8 73 255 4
5 34 38 33 216 4	5 14 32 8 73 453 4
5 34 42 8 137 117 4	5 32 77 15 468 6 16 116 4
5 34 147 10 3284 4	5 14 32 37 23 2526 4
5 34 74 19 1444 4	5 861 6 2119 4
5 34 1521 152 4	5 32 1254 235 4
5 34 1 1 4	5 2119 15 1 4
5 34 4879 32 14 4	5 272 34 22 4
5 34 473 19 29 1133 4	5 32 1216 6 59 156 4
5 34 473 19 29 426 4	5 32 710 6 59 402 4
5 34 473 19 294 4	5 32 1216 6 47 4
5 34 473 19 294 4	5 32 710 6 47 4
5 34 274 7 50 99 4	5 32 419 13 43 102 143 4
5 34 93 38 215 4	5 14 32 92 8 373 4
5 34 93 38 215 4	5 14 32 92 8 568 4
5 34 811 242 6 4	5 32 888 187 10 4
5 34 811 242 6 4	5 32 888 187 86 4
5 34 811 242 6 4	187 86 26 5 32 888 4
5 34 644 7 646 4	5 32 328 6 249 4
5 34 644 7 646 4	5 32 1227 6 249 4
5 34 401 19 289 4	19 28 25 1765 6 24 279 4
5 34 401 19 289 4	5 21 28 71 42 6 24 279 4
5 34 80 473 19 6 4	5 32 359 710 6 86 4
5 34 80 473 19 6 4	5 32 359 1216 6 86 4
5 34 80 473 19 6 4	5 32 359 1216 6 10 4
5 34 80 473 19 6 4	5 32 359 710 6 10 4
5 34 80 401 19 20 4	19 28 25 359 1765 4
5 34 205 4 5 490 4	5 32 306 4 19 25 457 4
5 34 205 4 5 490 4	5 32 503 4 19 25 457 4
5 34 144 1364 4	5 32 121 1597 4
5 34 144 38 274 4	5 14 32 8 129 419 4
5 34 144 1 4	5 32 129 1 4
5 34 1295 21 234 4	5 32 3114 13 229 4
5 34 1295 21 29 164 4	5 32 3114 41 59 492 4
5 34 1295 21 29 164 4	5 32 4143 41 59 492 4
5 34 641 154 4	19 960 15 164 4
5 34 1085 107 6 4	5 32 42 218 11 86 4
5 34 8 159 267 4	5 32 15 1519 912 4
5 34 8 159 267 4	5 32 16 313 1969 4
5 34 8 2624 59 4	5 32 16 2827 81 4
5 34 246 19 234 4	5 32 6620 6 229 4
5 34 246 19 234 4	5 32 413 6 229 4
5 34 246 19 234 4	5 32 815 6 229 4
5 34 106 173 32 14 4	5 32 118 757 34 22 4
5 34 106 173 32 14 4	5 32 118 1796 34 22 4
5 34 106 173 32 14 4	5 32 118 2404 34 22 4
5 34 106 173 32 14 4	5 32 118 395 34 22 4
5 34 106 173 32 6 4	5 32 118 395 34 10 4
5 34 106 173 32 6 4	5 32 118 395 34 86 4
5 34 106 173 32 6 4	5 32 118 757 34 10 4
5 34 1366 474 4	5 506 2113 4
5 34 386 7 319 4	19 623 6 493 4
5 34 60 215 133 4	5 32 72 373 144 145 4
5 34 60 3251 4	5 32 72 1 4
5 34 60 3251 4	5 32 72 1 4
5 34 380 29 313 4	19 570 59 836 4
5 34 784 10 908 4	19 1242 23 986 4
5 55 102 130 13 4	89 33 24 18 79 4
5 55 1642 10 127 4	19 25 2258 30 137 4
5 55 666 15 74 4	19 25 755 4
5 55 105 10 159 1195 4	19 25 23 236 484 4
5 55 105 10 335 4	19 25 30 282 4
5 55 105 29 1815 4	19 25 122 1907 4
5 55 105 67 207 4	5 21 25 286 255 4
5 55 105 67 3904 4	5 21 25 286 835 4
5 55 105 7 18 20 4	5 136 15 38 4
5 55 105 7 88 6 4	12 33 139 10 124 4
5 55 105 7 88 6 4	12 33 139 51 124 4
5 55 263 29 778 4	19 25 304 59 1384 4
5 55 263 29 1165 4	19 25 304 59 1410 4
5 55 136 29 592 4	19 25 57 59 538 4
5 55 220 13 166 4	19 25 560 20 172 4
5 55 138 5 34 205 4	19 25 79 11 19 111 306 4
5 55 323 167 45 4	5 31 25 99 1 4
5 55 323 167 45 4	5 31 25 165 1 4
12 154 400 9	9 20 11 35 9 246 26 15 164 7
12 14 1029 133 9	22 9 12 1470 144 145 7
12 14 42 20 891 9	22 9 12 77 20 853 7
12 14 144 2773 9	22 9 12 121 13 1133 7
12 14 144 2773 9	22 9 12 129 13 1133 7
12 14 144 459 9	22 620 129 7
12 119 19 20 311 9	120 11 20 132 6 150 9 12 332 7
12 403 21 53 9	43 18 52 12 48 11 20 132 26 108 1006 7
12 237 286 117 9	48 11 20 132 29 135 61 324 52 12 41 16 116 7
12 237 286 117 9	48 11 20 132 29 135 61 324 52 12 13 16 116 7
12 237 408 9	48 11 20 132 9 12 566 7
12 121 1130 9	43 18 52 12 120 11 20 132 48 861 7
12 854 699 15 9	24 1031 771 36 15 404 7
12 854 699 15 9	16 6166 771 36 15 404 7
12 854 699 15 9	75 771 12 15 404 29 102 13 24 1031 7
12 854 699 15 9	75 771 12 15 404 29 102 28 2625 7
12 327 510 9	49 15 131 18 52 12 504 7
12 228 380 9	49 15 131 9 12 28 117 29 346 7
12 174 274 9	9 20 11 49 9 419 7
12 174 274 9	49 9 12 419 7
12 16 245 47 22 9	9 12 28 117 6 33 465 7
12 16 93 343 9	998 52 12 4294 7
12 15 10 284 203 9	9 20 23 518 189 7
12 15 10 284 203 9	9 20 23 189 546 7
12 15 10 992 202 10 67 9	35 9 957 219 35 9 251 7
12 15 1 9	9 20 1 7
12 15 375 91 59 9	35 9 480 29 81 7
12 15 310 882 9	75 2887 52 12 7
12 15 76 7 662 9	128 52 12 2247 7
12 15 144 968 9	1077 12 129 7
12 15 57 7 163 9	9 12 74 6 220 7
12 15 57 6 79 9	9 20 6 74 317 10 66 103 7
12 29 3285 274 9	59 4026 9 12 419 7
12 13 10 2101 9	45 571 12 29 23 2931 7
12 13 10 159 819 9	9 20 11 35 9 30 313 983 7
12 13 10 992 202 67 9	9 20 23 957 219 23 251 7
12 13 45 19 167 9	9 20 108 16 4032 29 307 624 7
12 13 45 19 167 9	9 20 108 16 4032 29 307 101 7
12 13 45 25 79 9	9 20 49 20 317 27 93 103 7
12 13 81 189 9	9 20 177 134 7
12 13 68 19 1695 9	9 20 108 24 23 29 307 27 7
12 13 140 203 9	9 20 179 189 7
12 13 93 311 9	9 20 1 7
12 13 2355 9	9 20 1 7
12 13 80 936 9	9 20 62 1754 7
12 13 8 159 549 9	9 20 15 236 7
12 13 227 412 9	68 85 9 13 86 7
12 13 33 270 9	9 20 141 426 7
12 13 33 218 9	9 20 108 141 196 7
12 13 33 218 9	9 20 108 73 196 7
12 13 33 352 9	9 20 108 141 339 7
12 13 33 352 9	9 20 108 73 339 7
12 8 420 302 9	15 74 9 12 478 7
12 20 45 19 167 9	9 20 108 49 7
12 20 45 44 18 9	9 20 49 20 37 67 743 7
12 20 45 25 79 9	9 20 108 49 20 317 27 93 103 7
12 20 2719 9	9 20 4875 7
12 20 166 1176 9	9 20 11 20 172 9 1 7
12 20 81 154 9	9 20 56 134 164 7
12 20 1 544 9	9 20 56 565 60 1 7
12 20 1 9	9 20 1383 7
12 20 855 412 9	68 906 9 36 16 1810 7
12 20 769 3655 9	20 1758 9 12 699 7
12 20 769 3655 9	68 971 9 36 699 7
12 20 769 3655 9	9 20 11 20 1758 9 699 7
12 20 8 203 9	9 20 15 189 7
12 20 33 360 9	9 20 141 355 7
12 20 33 340 9	45 571 12 6 73 333 7
12 20 33 4515 9	35 9 94 4876 7
12 20 33 4515 9	9 20 73 4876 7
12 20 33 1256 9	20 1394 9 12 15 1561 7
12 20 33 1165 9	9 20 94 182 1699 7
12 20 33 1165 9	9 20 94 1410 7
12 20 33 1165 9	9 20 73 1410 7
12 33 171 588 9	9 20 11 94 156 9 608 7
12 33 967 47 117 9	141 196 9 13 16 116 7
12 33 218 59 9	141 196 9 36 108 7
156 11 15 1 9	21 9 20 8 1 7
156 11 37 315 9	21 9 36 8 451 7
156 11 13 2075 9	21 9 20 8 1756 7
156 11 13 2075 9	21 9 20 8 1 7
156 11 13 3110 9	21 9 20 8 1 7
156 11 13 1705 9	75 21 9 12 8 3003 7
156 11 13 1705 9	21 9 20 8 3003 7
156 11 13 3582 9	21 9 20 8 5065 7
156 11 13 3582 9	75 21 9 12 8 5065 7
15 30 35 718 4	39 107 53 855 4
15 30 35 400 4	39 107 53 246 4
15 97 35 403 4	39 302 53 21 442 48 4
15 48 38 89 168 4	39 14 45 9 8 572 4
15 48 38 89 168 4	39 21 18 8 80 23 767 4
15 48 38 89 168 4	39 21 18 8 80 30 3146 4
15 129 11 112 251 4	39 14 827 8 129 4
15 361 385 81 4	5 33 32 996 177 91 4
15 181 80 462 4	35 9 276 359 410 40
15 181 80 462 4	35 9 276 359 622 40
15 12 10 169 296 4	12 57 23 113 445 4
15 156 11 945 4	20 21 9 8 968 4
15 312 41 10 4918 4	39 1009 13 23 6167 4
15 312 41 10 2625 4	75 1009 13 30 2810 4
15 434 22 807 4	39 33 780 2144 4
15 172 409 366 4	12 61 107 37 12 3292 20 204 4
15 172 170 35 311 4	39 107 91 53 332 4
15 295 35 10 4516 4	39 302 53 23 6899 4
15 100 3905 59 4	12 14 687 87 81 4
15 276 1232 59 4	12 1077 271 81 4
15 276 3905 59 4	12 687 271 81 4
15 93 4919 22 4	39 44 18 92 3804 4
15 93 4919 22 4	39 44 18 92 1 4
15 1 6 110 4	17 15 3766 4
15 1 6 110 4	10 15 3269 4
15 1704 1658 4	39 1408 1 134 4
15 1704 1658 4	75 1408 1 134 4
15 3794 45 161 4	12 18 4144 195 16 216 4
15 3794 177 4	12 18 4144 26 153 4
15 1283 60 81 4	35 170 9 72 134 4
15 1283 60 81 4	39 18 72 134 1083 4
15 240 45 679 4	39 18 225 195 16 1040 4
15 2843 4517 1322 4	39 1777 24 1499 2409 4
15 27 10 215 161 4	39 18 80 30 216 1 4
15 27 10 429 515 4	35 54 23 1374 2469 4
15 27 10 2420 4	12 45 2506 29 23 3141 4
15 27 10 676 161 4	35 54 30 216 3567 4
15 27 10 81 417 4	35 54 23 134 454 4
15 27 10 304 512 4	20 208 23 1702 506 4
15 27 10 304 512 4	39 18 80 23 1305 506 4
15 27 10 304 512 4	20 208 23 1305 506 4
15 27 10 304 512 4	39 18 80 23 1702 506 4
15 27 10 501 2356 4	35 54 23 3301 1 4
15 27 10 501 2356 4	35 54 23 3301 1 4
15 27 10 134 19 341 4	35 54 72 961 4
15 27 10 302 287 4	39 18 80 30 1131 295 4
15 27 10 302 427 4	35 54 30 451 363 4
15 27 10 1452 1679 4	20 208 30 1668 246 4
15 27 10 2943 161 4	20 208 30 1658 216 4
15 27 45 699 15 4	49 28 3565 16 554 4
15 27 345 568 4	35 54 335 961 4
15 27 1 4	20 208 1298 3006 4
15 27 1 4	39 18 80 1298 3006 4
15 27 1538 568 4	35 54 177 961 4
15 27 692 45 120 4	12 18 57 478 195 16 330 4
15 27 310 676 4	39 45 1 4
15 27 209 64 1802 4	35 54 436 123 6 16 1459 4
15 27 46 607 4	35 54 100 602 4
15 27 72 10 716 4	20 21 54 37 23 797 4
15 27 72 10 1 4	20 14 208 37 30 1 4
15 27 474 189 4	12 730 698 209 4
15 27 41 10 716 4	39 33 1149 123 23 797 4
15 27 38 29 929 4	20 21 54 8 82 872 4
15 27 38 29 929 4	20 21 54 8 6 82 872 4
15 27 147 10 716 4	20 21 54 37 23 797 4
15 27 147 10 716 4	20 14 208 37 23 797 4
15 27 147 10 716 4	39 21 18 80 37 23 797 4
15 27 659 568 4	35 54 519 961 4
15 27 659 568 4	20 208 519 961 4
15 27 93 429 4	35 54 287 30 4
15 27 93 568 4	35 54 92 961 4
15 27 93 568 4	20 208 92 961 4
15 27 93 990 4	35 54 72 887 4
15 27 1102 669 4	12 54 1073 201 627 4
15 27 3872 4	35 54 1592 4
15 27 60 2785 4	20 208 72 3006 4
15 27 60 2785 4	39 18 80 72 3006 4
15 27 699 386 4	39 3565 15 404 29 369 4
15 27 33 410 4	35 54 94 407 4
15 244 11 10 1977 4	20 21 54 8 30 293 4
15 244 11 615 4	20 21 54 8 825 4
15 244 11 72 742 4	20 21 54 8 11 6 16 375 4
15 244 11 13 296 4	12 14 730 8 62 445 4
15 688 1521 4	39 18 1254 2430 4
15 557 41 3111 4	39 828 123 98 5666 4
15 78 35 765 4	39 431 1053 4
15 54 35 67 203 4	39 277 187 189 4
15 54 35 140 636 4	20 277 179 679 4
15 54 89 21 2099 4	39 277 91 1177 4
15 54 466 409 4	12 2386 496 4
15 54 409 32 122 4	12 128 1125 803 4
15 54 409 32 122 4	12 2386 26 187 286 930 4
15 54 662 176 4	12 4484 174 4
15 17 1533 133 4	144 145 35 9 1615 4
15 17 10 284 607 4	35 9 30 787 602 4
15 17 10 3112 1 4	35 9 23 2427 414 4
15 17 10 1 417 4	35 9 30 1 4
15 17 10 1 305 4	35 9 23 434 1 4
15 17 10 169 4518 4	39 18 23 113 1151 4
15 17 10 169 4518 4	35 9 23 113 1 4
15 17 10 169 4397 4	35 9 23 113 2368 4
15 17 10 169 2492 4	35 9 23 113 3548 4
15 17 10 302 116 4	35 9 30 451 4295 4
15 17 10 765 2407 4	35 9 23 2374 3805 4
15 17 10 1119 229 4	35 9 30 221 5667 4
15 17 10 4519 68 4	35 28 9 30 1 4
15 17 10 364 2046 4	35 9 23 4544 56 131 4
15 17 208 1944 4	35 9 163 2222
15 17 45 10 284 822 4	49 39 9 30 787 1120 4
15 17 45 159 32 22 4	35 9 49 236 34 47 4
15 17 45 202 199 4	35 9 49 219 112 4
15 17 45 33 929 4	35 9 1315 6 141 872 4
15 17 45 33 929 4	35 9 1315 6 73 872 4
15 17 86 901 822 4	35 9 30 1120 29 1 4
15 17 86 901 822 4	35 9 30 1120 307 27 4
15 17 86 173 457 4	35 9 30 757 381 4
15 17 86 173 457 4	35 9 23 395 934 4
15 17 86 173 457 4	35 9 30 757 2073 4
15 17 86 576 1706 4	35 9 23 2938 42 2319 4
15 17 64 296 64 873 4	35 9 445 123 6 16 1157 4
15 17 232 3286 4	35 9 28 117 29 53 5187 4
15 17 1333 10 1966 4	35 9 1694 23 1304 4
15 17 296 74 53 4	12 57 445 60 521 4
15 17 1136 1693 4	35 9 92 72 5668 4
15 17 454 19 1023 4	35 9 2863 4
15 17 310 2214 4	39 45 1 4
15 17 209 7 792 4	35 9 436 6 1319 4
15 17 209 7 792 4	35 9 246 6 1319 4
15 17 72 10 1 4	39 21 9 37 23 1 4
15 17 72 38 110 4	35 9 212 4744 4
15 17 248 19 1176 4	35 9 519 1756 4
15 17 2436 56 597 4	35 9 1402 64 1 4
15 17 100 106 217 4	12 21 9 87 118 288 4
15 17 2720 1 4	20 21 9 8 1 4
15 17 38 10 628 4	20 21 9 8 23 672 4
15 17 38 58 13 4	12 14 45 571 8 6 39 4
15 17 38 58 167 4	12 14 45 571 8 29 101 4
15 17 38 296 133 4	12 14 57 8 445 144 145 4
15 17 38 945 4	20 21 9 8 968 4
15 17 38 3240 4	20 21 9 8 850 308 4
15 17 38 29 2104 4	20 21 9 8 59 516 4
15 17 38 1 4	35 9 251 1 4
15 17 38 2411 4	20 21 9 8 2799 4
15 17 38 479 53 4	20 21 9 8 1 26 108 448 4
15 17 38 1190 251 4	20 21 9 8 129 15 1433 4
15 17 38 1 4	20 21 9 8 1 4
15 17 38 8 270 4	20 21 9 8 16 426 4
15 17 38 8 270 4	39 14 5191 8 16 426 4
15 17 38 699 108 4	39 14 771 8 218 85 4
15 17 38 33 929 4	20 21 9 8 6 141 872 4
15 17 38 33 2606 4	20 21 9 8 94 3148 4
15 17 147 3091 4	20 21 9 11 4840 4
15 17 147 3091 4	20 21 9 11 5182 4
15 17 93 1378 4	35 9 92 1305 4
15 17 93 1378 4	35 9 92 1655 4
15 17 93 1378 4	35 9 92 1 4
15 17 3281 3254 4	12 43 18 23 113 6 1263 4
15 17 144 21 1 4	35 9 121 41 31 1 4
15 17 1 21 59 4	35 9 1 26 108 1006 4
15 17 57 7 61 73 4	12 9 74 6 61 980 4
15 17 57 1 4	39 705 56 74 4
15 17 57 1 4	35 9 1 4
15 17 106 501 901 4	12 57 118 557 13 24 984 4
15 17 1317 1144 4	35 9 2206 1683 4
15 17 1 501 4	12 57 1 557 4
15 17 2402 7 193 4	12 9 2058 29 369 4
15 17 60 315 4	35 9 72 478 4
15 17 60 718 4	35 9 72 855 4
15 17 60 505 4	35 9 291 1081 4
15 17 60 2962 4	35 9 72 2074 4
15 17 60 501 133 4	144 145 26 12 57 72 557 4
15 17 60 501 133 4	12 57 92 557 144 145 4
15 17 33 598 120 4	35 9 94 209 6 375 4
15 17 33 147 857 4	35 9 94 188 1 4
15 17 33 147 857 4	35 9 73 188 1 4
488 31 1 4	31 680 65 46 6005 4
4396 1348 167 4	5949 270 2110 4
1 12 10 2338 4	1 9 30 2609 4
72 700 29 2202 4	2974 212 59 2025 4
72 700 29 2202 4	32 212 59 2025 4
72 128 15 10 857 4	4750 73 375 4
72 163 22 183 4	6692 47 212 16 1261 40
72 163 22 183 4	1203 47 212 16 1261 40
72 1500 10 545 4	5950 10 154 26 23 211 4
212 76 1257 4	2498 49 713 40
212 76 1257 4	1748 29 102 49 713 4
212 22 21 8 1 4	284 47 41 16 5179 4
212 22 21 8 1 4	157 47 1 24 1170 4
212 33 455 292 4	714 31 452 3974 4
212 33 862 2099 4	714 94 991 13 3623 6 336 40
212 33 862 2099 4	1719 73 991 13 3623 6 336 40
563 30 35 80 395 4	31 192 534 53 359 1 4
563 30 35 80 395 4	12 171 11 31 192 1360 359 1 4
1618 15 42 8 482 4	2605 15 77 16 505 4
1618 15 42 8 482 4	2605 16 77 16 505 4
1618 15 42 8 482 4	1674 15 77 16 505 4
1618 15 42 8 482 4	1674 16 77 16 505 4
163 74 20 394 4	1 20 458 40
163 74 20 394 4	284 20 458 6 494 40
163 74 20 394 4	364 20 458 6 494 40
163 8 235 292 4	284 16 182 1235 4
84 22 18 15 29 137 4	284 47 15 38 13 82 664 4
84 22 587 20 4	364 47 837 150 4
84 22 587 20 4	284 47 837 39 4
84 22 24 10 1359 4	284 47 1 4
84 22 328 29 1071 4	364 47 529 82 254 4
84 22 328 29 1071 4	284 47 529 82 254 4
84 22 558 32 334 4	284 47 758 34 30 146 4
84 8 287 872 4	11 16 295 585 4
84 17 35 2146 4	1249 1 4
84 17 211 32 92 4	6900 6 24 215 4
84 17 211 15 10 120 4	3965 28 34 144 145 4
84 17 211 15 10 120 4	35 9 49 34 144 145 40
84 17 657 8 1204 4	1 16 747 40
84 17 597 20 73 4	6901 75 40
84 17 597 20 73 4	6901 39 40
84 17 18 8 1401 4	613 16 1550 4
84 17 18 20 518 4	613 150 42 288 4
84 17 2080 42 13 4	1 27 108 509 4
84 17 61 111 336 4	348 583 6 16 429 4
84 17 61 111 336 4	348 583 13 193 4
84 17 128 15 10 193 4	1689 40
84 17 128 15 10 193 4	1689 39 40
84 17 50 7 10 417 4	348 124 23 454 4
84 17 24 111 341 4	5116 27 4
84 17 24 111 341 4	5116 27 40
84 17 212 21 614 4	89 714 1232 4
84 17 163 366 4	2157 20 204 4
84 17 109 15 3586 4	613 867 4
84 17 677 8 1602 4	1 15 1206 4
84 17 38 1 4	14 27 1 8 40
84 17 705 10 1346 4	1 30 1664 4
84 17 257 1112 126	2213 60 1642 4
84 17 257 1112 4	2213 60 1642 4
84 17 477 178 59 4	2690 27 81 4
84 17 192 289 4	1165 279 4
84 17 404 47 1020 4	1885 13 1643 1291 1059 4
84 17 404 366 4	1885 20 204 4
84 17 404 366 4	1885 68 216 4
84 17 132 58 15 4	1165 28 4
84 17 193 104 4	4502 96 85 40
84 17 193 104 4	1689 96 85 4
84 17 193 20 652 4	1689 20 723 4
84 17 306 10 417 4	348 124 23 454 4
226 75 72 1921 4	16 194 472 154 6 700 4
226 12 38 45 341 4	16 194 21 9 8 121 1505 4
226 12 38 765 4	16 194 21 9 8 2389 4
123 47 14 17 537 4	479 31 574 6 22 4
123 47 8 457 4	479 24 2073 4
123 47 8 457 4	834 20 934 26 45 12 10 191 4
123 74 8 441 4	479 98 16 511 40
123 476 8 769 4	479 399 15 1758 4
123 476 8 769 4	834 399 15 1758 4
123 26 5 54 303 6 4	834 26 5 142 10 663 40
139 12 38 10 1073 4	24 765 21 9 8 23 1280 4
109 86 1240 4	549 763 10 4
109 308 592 4	237 23 135 538 4
109 308 592 4	157 23 135 538 4
141 131 18 20 4	105 6 203 743 39 4
83 12 29 1 4	115 9 82 5060 4
172 5 200 33 250 9	181 5 10 415 73 269 7
172 5 35 19 1787 9	181 5 53 1177 7
172 5 35 19 1787 9	181 5 33 248 1177 7
172 5 255 2107 9	181 5 443 6 24 1774 7
172 5 255 2107 9	181 5 4015 6 24 1774 7
172 5 151 104 9	263 5 193 96 85 7
172 5 151 13 652 9	181 5 193 20 723 7
172 5 151 20 652 9	181 5 193 20 723 7
172 5 1893 6 9	181 5 10 2880 7
172 5 125 104 9	9 20 11 5 71 97 96 85 7
172 5 125 104 9	181 5 97 96 85 7
172 5 101 10 869 9	5 71 176 30 1054 7
523 5 1 4	107 53 25 5 6647 4
523 5 54 211 6 4	107 53 10 1535 5 4
523 5 54 211 6 4	107 53 52 1535 5 4
523 14 30 18 15 4	107 53 11 22 107 15 38 4
523 14 12 438 4	107 53 11 22 9 686 4
523 25 30 805 15 4	107 53 267 27 15 776 4
1 27 10 1 4	1 54 6844 4
351 12 8 581 68 4	15 1042 9 15 695 4
967 12 153 110 4	1607 18 121 256 4
114 12 174 4	24 126 107 49 4
3906 1565 1080 4	31 4545 1 200 1361 4
677 74 19 8 137 4	1096 56 3152 40
4520 371 21 1 4	6168 9 328 28 1 4
436 12 29 4187 4	16 485 9 82 6169 4
135 5 317 21 2486 9	136 5 408 13 24 2883 7
29 270 12 189 4	82 426 1927 4
29 1752 312 349 4	82 2075 1728 360 4
29 124 144 1583 4	59 1136 33 57 129 199 4
29 664 12 86 1330 4	59 1274 9 23 932 4
29 331 75 371 4	59 320 9 328 4
29 776 12 729 4	59 800 381 9 909 4
29 405 770 1 4	59 469 362 24 2460 13 469 4
29 405 770 1 4	59 469 362 31 1 4
29 520 529 22 4	59 500 18 103 6 47 4
29 1133 66 672 22 4	59 156 33 5164 4
29 206 529 10 321 4	59 210 18 103 29 30 1196 4
29 455 145 1 4	19 25 56 2003 41 31 452 4
29 1177 31 4521 4	122 946 65 1 4
29 216 643 22 4	59 255 44 18 897 4
29 216 643 22 4	59 453 44 18 897 4
29 216 643 22 4	59 255 44 18 3611 4
29 216 643 22 4	59 453 44 18 3611 4
